,0,1,2,3,4
0,520227,鮨文 Sushi Man,紅磡黃埔天地聚寶坊(第11期)地下G22A號舖,$801以上,332
1,684068,YAKINIKU KAKURA,紅磡黃埔天地聚寶坊(第11期)地下G1及G3號舖,$201-400,187
2,654258,米気 Mai Hei,紅磡黃埔天地百寶坊(第3期)地下G32號舖,$101-200,126
3,657116,NOC Coffee Co.,紅磡黃埔天地百合苑商場(第9期)地下G42號舖,$50以下,120
4,649929,壽司郎 Sushiro,紅磡黃埔天地享膳坊(第4期)地下G10號舖,$101-200,127
5,481962,九重鮮 steam fresh,紅磡黃埔天地聚寶坊(第11期)地下G26號舖,$201-400,561
6,685012,原作養生湯米線 Origin Healthy Rice Noodle,紅磡必嘉街120號黃埔花園三期翠楊苑地下34號舖,$50以下,129
7,655531,Sweet Craft,紅磡黃埔天地百寶坊(第3期)地下G33號舖,$50以下,105
8,547673,豚道樂 (百合苑商場) Butadouraku (Lily Mansion),紅磡黃埔天地百合苑商場(第9期) 地下九號水產G2號舖,$51-100,202
9,655298,泰拍耶 PHAYA THAI,紅磡黃埔天地第5及6期地庫AEON StyleB02號舖,$101-200,101
10,558573,時新漢堡飽 Sze Sun Hamburger,紅磡黃埔天地家居庭(第12期)地下G22-G23號舖,$50以下,237
11,492403,California Pizza Kitchen,紅磡黃埔天地美食坊(第8期)3樓302號舖,$101-200,94
12,712721,素年 Be with Years,紅磡黃埔天地百寶坊(第3期)地下G27號舖,$101-200,66
13,690857,厚福館 (黃埔天地) Hau Fook Restaurant (Wonderful Worlds of Whamp),紅磡必嘉街121號黃埔天地奇妙坊(第1期)地下G9號舖,$201-400,67
14,570331,名館 (黃埔天地) Ming Bistro (Gourmet Place),紅磡黃埔天地美食坊(第8期)1樓113號舖,$101-200,190
